"Nombre", "Autor", "ISBN-10", "ISBN-13", "Editorial", "Páginas", "Imagen"
"Harry Potter and the Prisoner of Azkaban, Book 3","J.K. Rowling",,,,,
"The Undiscovered Descendants: Book #1 in the Nordri Series",,,,"Pohjola Press (12 Noviembre 2021)",,
"Oathbringer","Brandon Sanderson",,,,,
"Harry Potter and the Deathly Hallows, Book 7","J.K. Rowling",,,,,
"The Way of Kings: The Stormlight Archive, Book 1","Brandon Sanderson",,,,,
"The Fair Isle Trilogy: Complete Series Collection",,"1955960011","978-1955960014","Crystal Moon Press (24 Junio 2021)","816 páginas","https://images-na.ssl-images-amazon.com/images/I/410RjE2LAIS._SX331_BO1,204,203,200_.jpg"
"Zodiac Academy 5: Cursed Fates",,,,,,
"Harry Potter and the Half-Blood Prince, Book 6","J.K. Rowling",,,,,
"Outlander: Outlander, Book 1","Diana Gabaldon",,,,,
"Kingdom Hearts Character Files","Square Enix","1506725783","978-1506725789","Dark Horse Books (9 Noviembre 2021)","224 páginas","https://images-na.ssl-images-amazon.com/images/I/51szCnamSoS._SX352_BO1,204,203,200_.jpg"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 14","Shirotaka",,,"Airship (Seven Seas) (25 Noviembre 2021)",,
"Written in My Own Heart's Blood: Outlander, Book 8","Diana Gabaldon",,,,,
"A Crown of Swords: Book Seven of The Wheel of Time","Robert Jordan",,,,,
"His Majesty's Dragon: Book One of the Temeraire",,,,"Del Rey; Reissue edición (28 Marzo 2006)",,
"Dellia (The Ever-Branching Tree)",,"1645710009","978-1645710004","Meerdon Publishing (17 Julio 2019)","654 páginas","https://images-na.ssl-images-amazon.com/images/I/51h52EUCtsL._SX331_BO1,204,203,200_.jpg"
"Words of Radiance: The Stormlight Archive, Book 2","Brandon Sanderson",,,,,
"The Wisdom of Crowds","Joe Abercrombie",,,,,
"The Jasmine Throne","Tasha Suri",,,,,
"Frank Herbert's Dune Saga 3-Book Boxed Set: Dune, Dune Messiah, and Children of Dune",,"0593201892","978-0593201893","Ace (25 Agosto 2020)",,"https://images-na.ssl-images-amazon.com/images/I/41QU8luevvL._SX366_BO1,204,203,200_.jpg"
"Shadow Princess: Zodiac Academy, Book 4","Caroline Peckham",,,,,
"Final Fantasy XV: The Dawn of the Future","Jun Eishima","1646090004","978-1646090006","Square Enix Books (14 Julio 2020)","384 páginas","https://images-na.ssl-images-amazon.com/images/I/41bNKrdOXQL._SX327_BO1,204,203,200_.jpg"
"Zodiac Academy 6: Fated Throne",,,,,,
"New Spring: The Wheel of Time Prequel","Robert Jordan",,,,,
"A Thousand Li: The Second Storm: A Xianxia Fantasy Epic",,,,"Starlit Publishing (1 Diciembre 2021)",,
"An Outcast in Another World 2: A Fantasy LitRPG Adventure (Book 2 - Shared Insanity)",,,,,,
"A Court of Frost and Starlight (A Court of Thorns and Roses Book 4)",,,,"Bloomsbury Publishing; 1er edición (1 Mayo 2018)",,
"Chronicles of Narnia Box Set",,"0061992887","978-0061992889","HarperCollins; Media tie-in edición (26 Octubre 2010)","1662 páginas","https://images-na.ssl-images-amazon.com/images/I/51HWQhWuSnL._SX354_BO1,204,203,200_.jpg"
"Coraline (Spanish Edition)",,"9788498382372","978-8498382372","Salamandra; 026 edición (28 Mayo 2009)","160 páginas","https://images-na.ssl-images-amazon.com/images/I/519kO0ui-ML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Luna nueva / New Moon (La Saga Crepusculo / The Twilight Saga) (Spanish Edition)",,"6073150512","978-6073150514","Debolsillo (19 Enero 2021)","576 páginas","https://images-na.ssl-images-amazon.com/images/I/41EdxzxyYpL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Recopilación tabú de médicos gays: Steamy Filled By Hard - Primer trío MMM - Secreto áspero Forzado - Grupo tabú de adultos (Doctor libro de fantasía prohibido) (Spanish Edition)","Tefgd Nyström",,,,,
"Harry Potter y el cáliz de fuego (Harry Potter 4)","J.K. Rowling",,,,,
"Vecinos Historias de sexo a la hora de dormir: Placer sucio al aire libre - Menage hardcore sucio - Seducción de montar a caballo - ¡Libro de fantasías ... salvaje y muchos más! (Spanish Edition)","Archdfie Ford",,,,,
"Magnus Chase and the Gods of Asgard Paperback Boxed Set",,"1484780620","978-1484780626","Disney-Hyperion (2 Abril 2019)","1584 páginas","https://images-na.ssl-images-amazon.com/images/I/51JwLU+IFkL._SX343_BO1,204,203,200_.jpg"
"Harry Potter and the Half-Blood Prince, Book 6","J.K. Rowling",,,,,
"Quidditch a través de los tiempos. Edición ilustrada / Quidditch Through the Ages: The Illustrated Edition (UN LIBRO DE LA BIBLIOTECA DE HOGWARTS [EDICIÓN ILUSTRADA]) (Spanish Edition)","Emily Gravett","8418174137","978-8418174131","Salamandra Infantil y Juvenil; 001 edición (23 Febrero 2021)","160 páginas","https://images-na.ssl-images-amazon.com/images/I/51iSvPXmB4L._SX258_BO1,204,203,200_.jpg"
"Harry Potter and the Sorcerer's Stone, Book 1","J.K. Rowling",,,,,
