"Nombre", "Autor", "ISBN-10", "ISBN-13", "Editorial", "Páginas", "Imagen"
"Harry Potter: A Pop-Up Book",,"9781608870080","978-1608870080","Insight Editions; Pop edición (16 Noviembre 2010)","12 páginas","https://images-na.ssl-images-amazon.com/images/I/51tshNuQUwL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (Illustrated edition) (4)","Jim Kay","0545791421","978-0545791427","Arthur A. Levine Books; Illustrated edición (8 Octubre 2019)","464 páginas","https://images-na.ssl-images-amazon.com/images/I/61Me3ePpM9L._SX421_BO1,204,203,200_.jpg"
"The City of Mist: Stories","Carlos Ruiz Zafon","0063118092","978-0063118096","Harper Perennial (23 Noviembre 2021)","176 páginas","https://images-na.ssl-images-amazon.com/images/I/41zZaYHPqXL._SX330_BO1,204,203,200_.jpg"
"Demon Slayer: Kimetsu no Yaiba, Vol. 22 (22)",,"1974723410","978-1974723416","VIZ Media LLC (1 Junio 2021)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/51wwlOFu3nL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Unicornios con Mandalas Libro de Colorear para Adultos: Arte de unicornio mágico - Libro de colorear de fantasía para adultos Relajación - Alivio del ... adaptados para adolescentes (Spanish Edition)","Sybil Martin",,"979-8768571405","Independently published (16 Noviembre 2021)","103 páginas","https://images-na.ssl-images-amazon.com/images/I/51wHEKsm0CL._SX384_BO1,204,203,200_.jpg"
"Harry Potter and the Sorcerer's Stone: MinaLima Edition (Harry Potter, Book 1) (Illustrated edition) (1)","J. K. Rowling","1338596705","978-1338596700","Scholastic Inc.; Illustrated edición (20 Octubre 2020)","368 páginas","https://images-na.ssl-images-amazon.com/images/I/51P1Rfz5n3L._SX331_BO1,204,203,200_.jpg"
"Legendary (Caraval, 2) (Spanish Edition)","STEPHANIE GARBER","8417854258","978-8417854256","Puck (21 Diciembre 2021)","480 páginas","https://images-na.ssl-images-amazon.com/images/I/51uv631NzPS._SX315_BO1,204,203,200_.jpg"
"The Hobbit: Or There and Back Again (Lord of the Rings)",,,,"Mariner Books (15 Febrero 2012)",,
"Las puertas de la Casa de la Muerte (Malaz: El Libro de los Caídos 2) (Spanish Edition)",,,,"B DE BOOKS (6 Septiembre 2017)",,
"The Handmaid's Tale",,"038549081X","978-0385490818","Knopf Doubleday Publishing Group; 1st Anchor Books edición (16 Marzo 1998)","311 páginas","https://images-na.ssl-images-amazon.com/images/I/41p0u2G9hbL._SX322_BO1,204,203,200_.jpg"
"Solo Leveling, Vol. 2 (comic) (Solo Leveling (comic), 2)","Chugong","1975319451","978-1975319458","Yen Press (20 Julio 2021)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/51KWybZigKS._SX346_BO1,204,203,200_.jpg"
"El caballero de los siete reinos / Knight of the Seven Kingdoms (A Vintage Español Original) (Spanish Edition)",,"1101912278","978-1101912270","Vintage Espanol (21 Abril 2015)","368 páginas","https://images-na.ssl-images-amazon.com/images/I/51Z9m66tPCL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Orígenes Helados: (El Sendero del Guardabosques, Libro 11) (Spanish Edition)",,,,,,
"Harry Potter and the Cursed Child, Parts One and Two: The Official Playscript of the Original West End Production: The Official Script Book of the Original West End Production",,"133821666X","978-1338216660","Arthur A. Levine Books (25 Julio 2017)","336 páginas","https://images-na.ssl-images-amazon.com/images/I/51yWqfmEZxL._SX332_BO1,204,203,200_.jpg"
"Arcanum Unbounded: The Cosmere Collection","Brandon Sanderson",,,,,
"The Lion, the Witch, and the Wardrobe: The Chronicles of Narnia","Michael York",,,,,
"Una corte de niebla y furia: Una corte de rosas y espinas 2 (Ficción) (Spanish Edition)","Márgara Averbach","8408170007","978-8408170006","Crossbooks (30 Mayo 2017)","592 páginas","https://images-na.ssl-images-amazon.com/images/I/51xgaYr07vL._SX325_BO1,204,203,200_.jpg"
"Miss Peregrine's Peculiar Children Boxed Set",,"159474890X","978-1594748905","Quirk Books (20 Octubre 2015)","1216 páginas","https://images-na.ssl-images-amazon.com/images/I/41URFjAa5uL._SX258_BO1,204,203,200_.jpg"
"Citónica [Cytonic]: Escuadrón 3 [The Skyward Series, Book 3]","Brandon Sanderson",,,,,
"When Valor Must Hold (Libri Valoris Book 1)",,,,"New Mythology Press (16 Marzo 2020)",,
"Jerusalén: Caballo de Troya 1","J. J. Benítez",,,,,
"The Lost Hero (Heroes of Olympus, Book 1)",,"9781423113393","978-1423113393","Disney-Hyperion; 1st edición (12 Octubre 2010)","576 páginas","https://images-na.ssl-images-amazon.com/images/I/51FPnr3sC4L._SX332_BO1,204,203,200_.jpg"
"[EDICIÓN ILUSTRADA] LOS DESCUBRIMIENTOS DE ISAAC ARQUE: criaturas mágicas, LGBTIQ+ y Asperger (Bestiarios) (Spanish Edition)",,,"979-8543793961","Independently published (31 Julio 2021)","584 páginas","https://images-na.ssl-images-amazon.com/images/I/51dFuUUS54L._SX331_BO1,204,203,200_.jpg"
"El principito (Spanish)","Antoine de Saint-Exupéry","0156013924","978-0156013925","Mariner Books (4 Septiembre 2001)","96 páginas","https://images-na.ssl-images-amazon.com/images/I/51hyi0j5BJL._SX331_BO1,204,203,200_.jpg"
"Ladrón de Almas (Crónicas del Horizonte nº 1) (Spanish Edition)",,,,,,
"The Infernal Devices, the Complete Collection: Clockwork Angel; Clockwork Prince; Clockwork Princess",,"1481456601","978-1481456609","Margaret K. McElderry Books; Boxed Set edición (1 Septiembre 2015)","1760 páginas","https://images-na.ssl-images-amazon.com/images/I/51AOc8NwkSL._SX258_BO1,204,203,200_.jpg"
"GÉNESIS BAJO LA LUNA (Los cuadernos del Lobo) (Spanish Edition)",,"1790145198","978-1790145195","Independently published (21 Noviembre 2018)","276 páginas","https://images-na.ssl-images-amazon.com/images/I/41QCswk81GL._SX331_BO1,204,203,200_.jpg"
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",,"0062315005","978-0062315007","HarperOne; 25th ed. edición (15 Abril 2014)","208 páginas","https://images-na.ssl-images-amazon.com/images/I/51kcX5PpaZL._SX329_BO1,204,203,200_.jpg"
"Un bosque confuso: Una fantasía mágica sobre profecía y destino. (El reino entre las nieblas nº 2) (Spanish Edition)",,,,,,
"Trono de cristal / Throne of Glass (Spanish Edition)",,"6073143710","978-6073143714","Alfaguara Juvenil (26 Julio 2016)","536 páginas","https://images-na.ssl-images-amazon.com/images/I/51ydSCMtcML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"The Moonlight Child",,,,"NIGHTSKY PRESS (10 Septiembre 2020)",,
"Juego de tronos (Spanish Edition)",,"0307951189","978-0307951182","Vintage Espanol; Media tie-in edición (1 Mayo 2012)","800 páginas","https://images-na.ssl-images-amazon.com/images/I/51a2o1Ku-YL._SX322_BO1,204,203,200_.jpg"
"The Art of Star Wars: Galaxy’s Edge","Scott Trowbridge","1419750127","978-1419750120","Abrams (27 Abril 2021)","256 páginas","https://images-na.ssl-images-amazon.com/images/I/51zxrQbYIzL._SY460_BO1,204,203,200_.jpg"
"Emma y las otras señoras del narco / Emma and Other Narco Women (Spanish Edition)","Anabel Hernandez","164473463X","978-1644734636","Grijalbo (11 Enero 2022)","312 páginas","https://images-na.ssl-images-amazon.com/images/I/51tqnX5cwdL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"A Game of Thrones: A Song of Ice and Fire, Book 1","Roy Dotrice",,,,,
"Harry Potter and the Deathly Hallows, Book 7","J.K. Rowling",,,,,
"Scythe (1) (Arc of a Scythe)",,"144247243X","978-1442472433","Simon & Schuster Books for Young Readers; Reprint edición (28 Noviembre 2017)","464 páginas","https://images-na.ssl-images-amazon.com/images/I/41OrFKaSzKL._SX330_BO1,204,203,200_.jpg"
"Cassandra Clare Set 7 Books Collection Mortal Instruments Series",,"1406393282","978-1406393286","Walker Books (1 Enero 2019)",,"https://images-na.ssl-images-amazon.com/images/I/51CUP3yBzBL._SX258_BO1,204,203,200_.jpg"
"Alas de Traición: Saga Memorias de Nâgar 2 (Spanish Edition)","M. Salazar",,,,,
"The Book Thief",,,,"Knopf Books for Young Readers; First edición (18 Diciembre 2007)",,
"Ruina y ascenso (Spanish Edition)","Leigh Bardugo","8418002514","978-8418002519","Lectorum Publications; 1er edición (1 Noviembre 2019)","480 páginas","https://images-na.ssl-images-amazon.com/images/I/51yOKeZVh1L._SX315_BO1,204,203,200_.jpg"
"Libris Mortis: The Book of the Undead (Dungeons & Dragons d20 3.5 Fantasy Roleplaying)",,"0786934336","978-0786934331","Wizards of the Coast; 0 edición (8 Octubre 2004)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/61WMwv0aKsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Attack on Titan 1",,"9781612620244","978-1612620244","Kodansha Comics; Illustrated edición (19 Junio 2012)","208 páginas","https://images-na.ssl-images-amazon.com/images/I/51ywmxi7JVL._SX331_BO1,204,203,200_.jpg"
"Coraline (edición ilustrada) / Coraline. (Illustrated Edition) (Spanish Edition)","Neil Gaiman","841863703X","978-8418637032","Salamandra Infantil y Juvenil; 001 edición (18 Enero 2022)","176 páginas","https://images-na.ssl-images-amazon.com/images/I/41H0zM0NP4L._SX368_BO1,204,203,200_.jpg"
"Temptation (The Hunted Series Book 1)",,,,"Loft Troll Ink (8 Abril 2015)",,
"The Resurrectionist: The Lost Work of Dr. Spencer Black",,"1594746168","978-1594746161","Quirk Books; Illustrated edición (21 Mayo 2013)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/419kvKhJbRL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"The Lightning Thief: Percy Jackson and the Olympians, Book 1","Rick Riordan",,,,,
"Frank Herbert's Dune Saga Collection: Books 1 - 6",,,,"Ace (2 Junio 2020)",,
"Los Sombrífagos, El libro de fantasía, de terror, de ciencia ficción, juvenil y de magia: (La continuación del libro: La bola de ónix) (Spanish Edition)","Marek K. Polacek",,,,,
"A Thousand Li: the First Step: Book 1 Of A Xianxia Cultivation Series",,,,"Starlit Publishing (2 Abril 2019)",,
"L'Angelo Nero: Secondo Volume | Trilogia | libro fantasy (IL DOMINIO DEI MONDI VOL. II) (Italian Edition)",,,,"EnneA Publisher; 2nd edición (13 Septiembre 2016)",,
"Harry Potter Boxed Set: The Complete Collection Adult Paperback","J. K. Rowling","1408898659","978-1408898659",,"3872 páginas","https://images-na.ssl-images-amazon.com/images/I/51P205wQaVL._SY283_BO1,204,203,200_.jpg"
"Insurgente (Divergente) (Spanish Edition)","Pilar Ramírez Tello","8427203187","978-8427203181","Molino; 1ª ed., 1ª imp. edición (6 Septiembre 2012)","464 páginas","https://images-na.ssl-images-amazon.com/images/I/51Jmf8J6chL._SX328_BO1,204,203,200_.jpg"
"1984","Erich Fromm","9780451524935","978-0451524935","Signet Classic (1 Enero 1961)","","https://images-na.ssl-images-amazon.com/images/I/41DoIQLHzlL._SX268_BO1,204,203,200_.jpg"
"Red Queen (Red Queen, 1)",,"006231064X","978-0062310644","HarperTeen; Reprint edición (7 Junio 2016)","416 páginas","https://images-na.ssl-images-amazon.com/images/I/41pGJbuiTwL._SX330_BO1,204,203,200_.jpg"
"FGTeeV: The Switcheroo Rescue!","Miguel Díaz Rivas","0063093006","978-0063093003","HarperAlley (5 Abril 2022)","208 páginas","https://images-na.ssl-images-amazon.com/images/I/61RJEit6skL._SX385_BO1,204,203,200_.jpg"
"Renegados (Renegados / Renegades, 1) (Spanish Edition)","V&R Editoras","9877473836","978-9877473834","Lectorum Publications, Inc.; 1o. edición (1 Febrero 2018)","584 páginas","https://images-na.ssl-images-amazon.com/images/I/511RmXCY1xL._SX354_BO1,204,203,200_.jpg"
"La maldición del titán / The Titan's Curse (Percy Jackson y los dioses del olimpo / Percy Jackson and the Olympians) (Spanish Edition)",,"9788498386288","978-8498386288","Salamandra; 017 edición (15 Enero 2015)","280 páginas","https://images-na.ssl-images-amazon.com/images/I/51934vXH6yL._SX309_BO1,204,203,200_.jpg"
"The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired Recipes (Unofficial Cookbook)",,"1507214510","978-1507214510","Adams Media (10 Noviembre 2020)","240 páginas","https://images-na.ssl-images-amazon.com/images/I/510WrswDt2L._SX382_BO1,204,203,200_.jpg"
"Throne of Glass","Sarah J. Maas",,,,,
"Crepúsculo / Twilight (La Saga Crepusculo / The Twilight Saga) (Spanish Edition)",,"8466332960","978-8466332965","Debolsillo; 001 edición (23 Octubre 2018)",,"https://images-na.ssl-images-amazon.com/images/I/31SaJ1gKHKL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Harry Potter and the Philosopher's Stone: Illustrated Edition","ROWLING J.K.","1526602385","978-1526602381","BLOOMSBURY (11 Agosto 2018)",,"https://images-na.ssl-images-amazon.com/images/I/51mhv-z7rML._SX423_BO1,204,203,200_.jpg"
"Halo: The Great Journey...The Art of Building Worlds","Titan Books","0857685627","978-0857685629","Titan Books; Reprint edición (18 Octubre 2011)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/51qLCVM2kvL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"Catalina y Sofía en el Mundo Subterráneo del Cusco: Una aventura mágica en Machu Picchu (Catalina y Sofia) (Spanish Edition)","JACKIE SAETTONE","6120044922","978-6120044926","CHICA LATINA; Chica Latina ed. edición (3 Agosto 2019)","68 páginas","https://images-na.ssl-images-amazon.com/images/I/41KUzPxnUDL._SX322_BO1,204,203,200_.jpg"
"Fire & Blood: 300 Years Before A Game of Thrones (A Targaryen History)","George R. R. Martin",,,,,
"Faeries of the Faultlines: Expanded, Edited Edition",,"1777081726","978-1777081720","Eye of Newt Books; Expanded edición (17 Agosto 2021)","176 páginas","https://images-na.ssl-images-amazon.com/images/I/512HyY9eRzL._SX258_BO1,204,203,200_.jpg"
"The House of Hades: The Heroes of Olympus, Book 4","Rick Riordan",,,,,
"ESTUCHE ESPECIAL - Trilogía Sombra y hueso (Spanish Edition)","Carlos Loscertales","8418002522","978-8418002526","Editorial Hidra; 1er edición (11 Noviembre 2019)","1200 páginas","https://images-na.ssl-images-amazon.com/images/I/51ur1Kt3y8L._SX349_BO1,204,203,200_.jpg"
"Crochet Cute Critters: 26 Easy Amigurumi Patterns",,"1641522305","978-1641522304","Rockridge Press (20 Agosto 2019)","140 páginas","https://images-na.ssl-images-amazon.com/images/I/51hclx977WL._SY498_BO1,204,203,200_.jpg"
"Il mistero delle foglie messaggere (Italian Edition)","Giuseppe Bordi",,,,,
"The Witches","Quentin Blake","0590032496","978-0142410110","Puffin Books; Illustrated edición (16 Agosto 2007)","224 páginas","https://images-na.ssl-images-amazon.com/images/I/51bDl2ipY2S._SX324_BO1,204,203,200_.jpg"
"How to Draw Anime ( Includes How to Draw Manga, Chibi, Body, Cartoon Faces ) Drawing Book How to Draw Anime and who lover Anime Coloring Book (How to Draw Anime and Manga)",,,"979-8714943089","Independently published (28 Febrero 2021)","129 páginas","https://images-na.ssl-images-amazon.com/images/I/51aQNnnEPFL._SX384_BO1,204,203,200_.jpg"
"Beginner's Guide to Sketching: Robots, Vehicles & Sci-fi Concepts",,"1909414778","978-1909414778","3DTotal Publishing (26 Febrero 2019)","216 páginas","https://images-na.ssl-images-amazon.com/images/I/513+B44V4tL._SY352_BO1,204,203,200_.jpg"
"El mar de los monstruos / The Sea Of Monsters (Percy Jackson y los dioses del olimpo / Percy Jackson and the Olympians) (Spanish Edition)",,"8498386276","978-8498386271","Salamandra; 019 edición (4 Diciembre 2014)","253 páginas","https://images-na.ssl-images-amazon.com/images/I/518zWkNaPNL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"UNA RAGAZZA CON I CAPELLI MARRONI: La storia dell'amore redentore (Italian Edition)","Andrea Dias",,,,,
"La promesa de una hechicera: Libro de fantasía juvenil en español (Yo, hechicera nº 1) (Spanish Edition)",,,,,,
"El Libro para colorear Disney Dreams collection Thomas Kinkade Alice Belleza Bestia",,"1449483186","978-1449483180","Andrews McMeel Publishing; Clr Csm edición (19 Septiembre 2017)","128 páginas","https://images-na.ssl-images-amazon.com/images/I/61MBc2ePDvL._SX380_BO1,204,203,200_.jpg"
"Flora and Ulysses: The Illuminated Adventures",,"0763687642","978-0763687649","Candlewick; Illustrated edición (13 Septiembre 2016)","256 páginas","https://images-na.ssl-images-amazon.com/images/I/51hqBOO4paL._SX334_BO1,204,203,200_.jpg"
"UNA CHICA DE PELO MARRON: La historia del amor redentor (Spanish Edition)","Andrea Dias",,,,,
"The Great Book of the Imaginary Animal Kingdom: 60 imaginary animals ready to frame",,,"979-8712372621","Independently published (22 Febrero 2021)","68 páginas","https://images-na.ssl-images-amazon.com/images/I/51AGixEtVjL._SX258_BO1,204,203,200_.jpg"
"El libro perdido (La Isla del Tiempo Plus) (Spanish Edition)",,,,"Destino Infantil & Juvenil (19 Mayo 2021)",,
"Balada de pájaros cantores y serpientes (Los Juegos del Hambre) (Spanish Edition)",,"8427220286","978-8427220287","LECTORUM PUBLICATIONS INC; 1ª ed. edición (3 Junio 2020)","592 páginas","https://images-na.ssl-images-amazon.com/images/I/41Qy09nlvEL._SX328_BO1,204,203,200_.jpg"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 13","Shirotaka",,,"Airship (Seven Seas) (23 Septiembre 2021)",,
"Tormenta de guerra: Reina roja 4 (La reina roja) (Spanish Edition)",,"607527703X","978-6075277035","Gran Travesia; Translation edición (1 Septiembre 2019)","776 páginas","https://images-na.ssl-images-amazon.com/images/I/41Wbo6alD9L._SX318_BO1,204,203,200_.jpg"
"Tuck Everlasting","Natalie Babbit","9780312369811","978-0312369811","Square Fish (21 Agosto 2007)","160 páginas","https://images-na.ssl-images-amazon.com/images/I/51eok-3tLcL._SX339_BO1,204,203,200_.jpg"
"Demon Slayer: Kimetsu no Yaiba, Vol. 23 (23)",,"1974723631","978-1974723638","VIZ Media LLC (3 Agosto 2021)","232 páginas","https://images-na.ssl-images-amazon.com/images/I/51mjhJ7MvAL._SX337_BO1,204,203,200_.jpg"
"Holes (Holes Series)","Vladimir Radunsky","0440414806","978-0440414803","Yearling (9 Mayo 2000)","233 páginas","https://images-na.ssl-images-amazon.com/images/I/51mC1v7eejL._SX258_BO1,204,203,200_.jpg"
"Memorias de Idhún: La Resistencia / Memories from Idhun: The Resistance: Libro I (Memorias de Idhun/ Memories of Idhun) (Spanish Edition)",,"0593082621","978-0593082621","Vintage Espanol (8 Diciembre 2020)","464 páginas","https://images-na.ssl-images-amazon.com/images/I/41NRntIboiL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Principles of Creature Design: creating imaginary animals",,"162465021X","978-1624650215","Design Studio Press; Illustrated edición (28 Noviembre 2015)","224 páginas","https://images-na.ssl-images-amazon.com/images/I/51XN2iM9GrS._SX258_BO1,204,203,200_.jpg"
"Harry Potter y la piedra filosofal (Ed. Minalima) / Harry Potter and the Sorcerer's Stone: MinaLima Edition (Spanish Edition)","J.K. Rowling","8418174072","978-8418174070","Salamandra Infantil y Juvenil; 001 edición (23 Febrero 2021)","368 páginas","https://images-na.ssl-images-amazon.com/images/I/513J0jDP3oL._SX358_BO1,204,203,200_.jpg"
"Sol de medianoche / Midnight Sun (La Saga Crepusculo / The Twilight Saga) (Spanish Edition)",,"8420456594","978-8420456591","Alfaguara Juvenil; 001 edición (17 Noviembre 2020)","800 páginas","https://images-na.ssl-images-amazon.com/images/I/414JJpG8A5L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Eclipse: The Twilight Saga, Book 3","Stephenie Meyer",,,,,
"El Señor de los Anillos I. La Comunidad del Anillo (Biblioteca J.R.R. Tolkien) (Spanish Edition)","Luis Domènech","8445000667","978-8445000663","Booket; 1er edición (18 Septiembre 2012)","576 páginas","https://images-na.ssl-images-amazon.com/images/I/51UdKQyH6jL._SX327_BO1,204,203,200_.jpg"
"Disney Dreams Collection Thomas Kinkade Studios Disney Princess Coloring Book",,"1524865559","978-1524865559","Andrews McMeel Publishing (15 Diciembre 2020)","96 páginas","https://images-na.ssl-images-amazon.com/images/I/51oAC8H-IDL._SX375_BO1,204,203,200_.jpg"
"Chronicles of Narnia Box Set",,"0061992887","978-0061992889","HarperCollins; Media tie-in edición (26 Octubre 2010)","1662 páginas","https://images-na.ssl-images-amazon.com/images/I/51HWQhWuSnL._SX354_BO1,204,203,200_.jpg"
"El libro perdido (Spanish Edition)",,"6070776976","978-6070776977","Planeta Publishing (27 Julio 2021)","416 páginas","https://images-na.ssl-images-amazon.com/images/I/51ORizW7jUS._SX356_BO1,204,203,200_.jpg"
"El dador (Giver Quartet) (Spanish Edition)",,"0358354749","978-0358354741","Clarion Books (3 Agosto 2021)","272 páginas","https://images-na.ssl-images-amazon.com/images/I/61dj6KNJzmL._SX334_BO1,204,203,200_.jpg"
"De sangre y cenizas (Spanish Edition)","JENNIFER ARMENTROUT","8417854312","978-8417854317","Puck (21 Diciembre 2021)","672 páginas","https://images-na.ssl-images-amazon.com/images/I/51E2-ITX4vS._SX315_BO1,204,203,200_.jpg"
"Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 12","Shirotaka",,,"Airship (Seven Seas) (15 Julio 2021)",,
"Kull: Savage Sword The Original Marvel Years Omnibus","Ross Andru","1302926802","978-1302926809","Marvel (18 Mayo 2021)","952 páginas","https://images-na.ssl-images-amazon.com/images/I/51E4vWqINcL._SX332_BO1,204,203,200_.jpg"
"Harry Potter: Hogwarts Trunk Collectible Set","Donald Lemke","0762474734","978-0762474738","Running Press Adult (17 Agosto 2021)","128 páginas","https://images-na.ssl-images-amazon.com/images/I/511-i-MI6-S._SY379_BO1,204,203,200_.jpg"
"S.T.A.R. Labs: Cisco Ramon's Journal",,"1785651277","978-1785651274","Titan Books; Media Tie In edición (1 Mayo 2018)","160 páginas","https://images-na.ssl-images-amazon.com/images/I/51THtQR7NWL._SX362_BO1,204,203,200_.jpg"
"Favola della buonanotte : La vera storia delle Fate. Una favola da leggere al tuo bambino per aiutarlo a dormire e fare dei sogni fantastici.Una favola ... il valore dell'amicizia. (Italian Edition)","Ettore Venturelli",,,,,
"VIKINGO: Las Crónicas de Haakon el Cobarde (Spanish Edition)","Alfonso Solis",,"979-8709270411","Independently published (14 Febrero 2021)","467 páginas","https://images-na.ssl-images-amazon.com/images/I/51BXmUgOUYL._SX331_BO1,204,203,200_.jpg"
"Divergente (Spanish Edition)","Pilar Ramírez Tello","8427201184","978-8427201187","Molino; 1o. edición (13 Octubre 2011)","464 páginas","https://images-na.ssl-images-amazon.com/images/I/51ku+ECQZJL._SX329_BO1,204,203,200_.jpg"
"Crepúsculo. Vida y muerte [Twilight: Life and Death]: Décimo aniversario [10th Anniversary]","Stephenie Meyer",,,,,
"Harry Potter y el prisionero de Azkaban. Edición ilustrada / Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Spanish Edition)",,"8498388279","978-8498388275","Salamandra; Ill edición (29 Noviembre 2017)","326 páginas","https://images-na.ssl-images-amazon.com/images/I/513A5DOoPHL._SX258_BO1,204,203,200_.jpg"
"Harry Potter y el cáliz de fuego / Harry Potter and the Goblet of Fire (Spanish Edition)",,"1644732106","978-1644732106","Salamandra Bolsillo; Translation edición (23 Junio 2020)","672 páginas","https://images-na.ssl-images-amazon.com/images/I/514tIfF9DwL._SX313_BO1,204,203,200_.jpg"
"Il Viaggiatore dei Sogni (Italian Edition)","Valerio Malvezzi",,,,,
"Warriors Super Edition: Graystripe's Vow (Warriors Super Edition, 13)",,"006296304X","978-0062963048","HarperCollins (14 Septiembre 2021)","496 páginas","https://images-na.ssl-images-amazon.com/images/I/416LRnrfqxL._SX334_BO1,204,203,200_.jpg"
"Final Fantasy XIV: Shadowbringers -- The Art of Reflection -Histories Forsaken-","Square Enix","1646090616","978-1646090617","Square Enix Books; Illustrated edición (28 Julio 2020)","304 páginas","https://images-na.ssl-images-amazon.com/images/I/51cN+5079kL._SX351_BO1,204,203,200_.jpg"
"Fairest of All: A Tale of the Wicked Queen (Villains, 1)","Disney Books","1423106296","978-1423106296","Disney Press; Media tie-in edición (18 Agosto 2009)","256 páginas","https://images-na.ssl-images-amazon.com/images/I/31eZIjQ7KmL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"(6 Libros En 1) Corona de Fuego & La Furia y El Poder De Las Sombras: Colección De Vampiros En Español. Libros de Novelas de Vampiros. Las mejores historias ... y Fantasía Paranormal (Spanish Edition)",,,,,,
"Naruto (3-in-1 Edition), Vol. 7: Includes vols. 19, 20 & 21 (7)",,"9781421554952","978-1421554952","VIZ Media LLC; Original edición (7 Enero 2014)","592 páginas","https://images-na.ssl-images-amazon.com/images/I/51ToijELzES._SX322_BO1,204,203,200_.jpg"
"Charlotte's Web",,,,"HarperCollins; Media tie-in edición (10 Abril 2012)","192 páginas","https://images-na.ssl-images-amazon.com/images/I/61+3z1o4oUL._SX334_BO1,204,203,200_.jpg"
"La cadena de oro: Cazadores de sombras. Las últimas horas (La Isla del Tiempo Plus) (Spanish Edition)",,"6070774558","978-6070774553","Planeta Publishing (20 Abril 2021)","656 páginas","https://images-na.ssl-images-amazon.com/images/I/51-BKtEcmgL._SX355_BO1,204,203,200_.jpg"
"Super Mario Adventures","Kentaro Takekuma","1421588641","978-1421588643","VIZ Media LLC; Illustrated edición (11 Octubre 2016)","112 páginas","https://images-na.ssl-images-amazon.com/images/I/61PStXQdX7L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"El encuadernador / The Binding (Spanish Edition)",,"8401024293","978-8401024290","Plaza & Janés; 001 edición (19 Mayo 2020)","480 páginas","https://images-na.ssl-images-amazon.com/images/I/51ziNXEynAL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"Greystone Secrets #2: The Deceivers",,"0062838415","978-0062838414","Katherine Tegen Books (9 Marzo 2021)","464 páginas","https://images-na.ssl-images-amazon.com/images/I/516FLyKiT-L._SX334_BO1,204,203,200_.jpg"
"Misión: sobrevivir (La senda del Chamán Libro 1): Serie LitRPG (Spanish Edition)",,,,"Magic Dome Books (12 Enero 2021)",,
"El Ritmo de la Guerra (El Archivo de las Tormentas 4) (Spanish Edition)","Manuel Viciano Delibano",,,"NOVA (19 Noviembre 2020)",,
"Locke & Key, Vol. 1: Welcome to Lovecraft","Gabriel Rodriguez","1600103847","978-1600103841","IDW Publishing; Reprint edición (18 Agosto 2009)","168 páginas","https://images-na.ssl-images-amazon.com/images/I/51CxjpN22OL._SX321_BO1,204,203,200_.jpg"
"Sombras alargadas / Long Shadows (GATOS GUERREROS / WARRIORS) (Spanish Edition)",,"8418174005","978-8418174001","Salamandra Infantil y Juvenil; 001 edición (22 Septiembre 2020)","320 páginas","https://images-na.ssl-images-amazon.com/images/I/51R3J-sffQL._SX309_BO1,204,203,200_.jpg"
"EL PRÍNCIPE DE ARABIA: Libro de fantasía, misterio, magia, romance juvenil y de aventuras (PARA TODOS LOS PÚBLICOS) (Spanish Edition)","Juan Manuel Martín Rivas",,,"BM (1 Noviembre 2017)",,
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Illustrated) (2)","J. K. Rowling","0545791324","978-0545791328","Arthur A. Levine Books; Illustrated edición (4 Octubre 2016)","272 páginas","https://images-na.ssl-images-amazon.com/images/I/51L7pTOL+KL._SX258_BO1,204,203,200_.jpg"
"The Heroes of Olympus Paperback Boxed Set (10th Anniversary Edition)",,"1368053092","978-1368053099","Disney-Hyperion; 10th Anniversary ed. edición (24 Septiembre 2019)","3088 páginas","https://images-na.ssl-images-amazon.com/images/I/518MU+MlZ+L._SX342_BO1,204,203,200_.jpg"
